title,features
Drop Dead Gorgeous, Comedy Michael Patrick Jann New Line Cinema Capella International KC Medien AG United States of America
The Raven, Comedy Fantasy Horror Roger Corman Alta Vista Productions United States of America
Tequila Sunrise, Action Adventure Crime Romance Thriller Robert Towne The Mount Company Warner Bros. Cinema City Films United States of America
Days of Heaven, Drama Romance Terrence Malick Paramount Pictures United States of America
Gilda, Drama Romance Thriller Charles Vidor Columbia Pictures United States of America
Joe the King, Crime Drama Frank Whaley Lower East Side Films 49th Parallel Productions Forensic/291 Films United States of America
Felicia's Journey, Drama Atom Egoyan Alliance Atlantis Communications Icon Entertainment International Marquis Films Ltd Canada United Kingdom
Magnolia, Drama Paul Thomas Anderson New Line Cinema Ghoulardi Film Company The Magnolia Project United States of America
Raining Stones, Comedy Drama Ken Loach Channel Four Films Parallax Pictures United Kingdom
The Wild McCullochs," Romance Drama Max Baer, Jr.  United States of America"
My Tutor, Comedy Drama Romance George Bowers Crown International Pictures Marimark Productions United States of America
Slaves to the Underground, Comedy Music Drama Kristine Peterson  
A Place in the Sun, Drama Romance George Stevens Paramount Pictures United States of America
Lucas, Comedy Drama Romance David Seltzer Twentieth Century Fox Film Corporation United States of America
The Road to El Dorado, Adventure Animation Comedy Family Don Michael Paul Bibo Bergeron DreamWorks SKG DreamWorks Animation United States of America
My Life, Drama Romance Bruce Joel Rubin Columbia Pictures Corporation Zucker Brothers Productions Capella Films United States of America
Gossip, Drama Mystery Thriller Davis Guggenheim Village Roadshow Pictures NPV Entertainment Warner Bros. Outlaw Productions (I) United States of America
The Myth Of Fingerprints, Drama Comedy Bart Freundlich Eureka Pictures Good Machine United States of America
Shanghai Noon,Shanghai Noon Collection Adventure Action Comedy Western Tom Dey Spyglass Entertainment Roger Birnbaum Productions Touchstone Pictures Hong Kong United States of America
Sunshine, Drama History István Szabó Channel Four Films Dor Film Produktionsgesellschaft GmbH Alliance Atlantis Communications Serendipity Point Films Téléfilm Canada Eurimages Kinowelt Filmproduktion Bavaria Film and Television Fund Hungarian Motion Picture Fund ISL Film InterCom The Movie Network (TMN) TV2 Vienna Film Financing Fund Österreichischer Rundfunk (ORF) Starhaus Filmproduktion Austria Canada Germany Hungary
Boys and Girls, Comedy Drama Romance Robert Iscove Punch 21 Productions United States of America
Butterfly, Drama José Luis Cuerda Televisión Española (TVE) Canal+ España Televisión de Galicia (TVG) S.A. Las Producciones del Escorpión S.L. Sociedad General de Televisión (Sogetel) Spain
The Bank Dick, Comedy Edward F. Cline Universal Studios United States of America
Requiem for a Dream, Crime Drama Darren Aronofsky Artisan Entertainment United States of America
102 Dalmatians,101 Dalmatians (Live-Action) Collection Comedy Family Kevin Lima Walt Disney Pictures Cruella Productions United States of America
Sugar & Spice, Crime Comedy Francine McDougall New Line Cinema United States of America
Critical Condition, Comedy Michael Apted Paramount Pictures United States of America
Of Mice and Men, Drama Lewis Milestone United Artists Hal Roach Studios United States of America
The Abominable Dr. Phibes,Dr. Phibes Collection Comedy Horror Robert Fuest American International Pictures (AIP) United Kingdom United States of America
Necessary Roughness, Comedy Stan Dragoti Paramount Pictures United States of America
The Tailor of Panama, Drama Thriller John Boorman Columbia Pictures Merlin Films Ireland United States of America
Rio Bravo, Western Howard Hawks Warner Bros. United States of America
Bat*21, Action Drama War Peter Markle TriStar Pictures Vision PDG United States of America
Dirty Rotten Scoundrels, Crime Comedy Frank Oz Orion Pictures United States of America
Bill & Ted's Excellent Adventure,Bill & Ted's Most Excellent Collection Adventure Comedy Science Fiction Stephen Herek Orion Pictures United States of America
Cyborg,Cyborg Collection Action Science Fiction Albert Pyun Cannon Group Golan-Globus United States of America
The War of the Roses, Comedy Drama Thriller Danny DeVito Gracie Films Twentieth Century Fox Film Corporation United States of America
Orphans," Comedy Drama Peter Mullan Antoinine Green Bridge Scottish Arts Council, The The Scottish Arts Council "
The Big Brawl, Action Comedy Robert Clouse  Hong Kong United States of America
Sidewalks of New York, Comedy Drama Romance Edward Burns Paramount Classics United States of America
Joy Ride,Joy Ride Collection Mystery Thriller Drama John Dahl Regency Enterprises Epsilon Motion Pictures LivePlanet New Regency Pictures Bad Robot United States of America
Divine Madness, Music Michael Ritchie The Ladd Company United States of America
Not Without My Daughter, Drama Thriller Brian Gilbert Pathé Entertainment Metro-Goldwyn-Mayer (MGM) Ufland United States of America
The Holcroft Covenant, Action Crime Thriller John Frankenheimer Thorn EMI Screen Entertainment United Kingdom
Dragonslayer, Fantasy Matthew Robbins Paramount Pictures Walt Disney Productions United Kingdom
Galaxina, Comedy Science Fiction William Sachs Marimark Productions United States of America
He Knows You're Alone, Horror Armand Mastroianni Metro-Goldwyn-Mayer (MGM) United States of America
Life Is to Whistle,  Fernando Pérez  
Clockstoppers, Adventure Family Science Fiction Thriller Jonathan Frakes Paramount Pictures Nickelodeon Movies Valhalla Motion Pictures United States of America
30 YEARS TO LIFE, Comedy Romance Drama Vanessa Middleton  
The Atomic Cafe, Documentary History Jayne Loader Kevin Rafferty Pierce Rafferty  United States of America
Body and Soul, Drama Robert Rossen Enterprise Productions United States of America
3:10 to Yuma, Drama Western Delmer Daves Columbia Pictures Corporation United States of America
The Coca-Cola Kid, Comedy Drama Romance Dusan Makavejev Australian Film Commission Cinema Enterprises Grand Bay Films International Pty. Australia
The Cassandra Crossing, Drama Thriller George P. Cosmatos Associated General Films International Cine Productions Germany Italy United Kingdom
My Beautiful Laundrette, Romance Drama Comedy Stephen Frears Channel Four Films Working Title Films SAF Productions United Kingdom
The Lady in Red, Action Thriller Lewis Teague New World Pictures United States of America
Summer Holiday, Music Romance Peter Yates Associated British Picture Corporation United Kingdom
Pumpkin, Comedy Drama Romance Anthony Abrams Adam Larson Broder  United States of America
Perfect, Drama Romance James Bridges Columbia Pictures Corporation Delphi III Productions Pluperfect United States of America
The Legend of Boggy Creek, Mystery Horror Drama Charles B. Pierce P & L United States of America
Beau Pere, Drama Romance Bertrand Blier Sara Films Antenne-2 (A2) France
Rollerball, Adventure Action Science Fiction Norman Jewison Algonquin United Kingdom
One Hour Photo, Horror Thriller Mark Romanek Fox Searchlight Pictures Catch 23 Entertainment United States of America
Secretary, Comedy Drama Romance Steven Shainberg Slough Pond double A Films United States of America
The Man from Elysian Fields, Drama Romance George Hickenlooper Shoreline Entertainment Fireworks Pictures Gold Circle Films CineSon Entertainment Pfilmco TVA International United States of America
The Pumaman, Science Fiction Action Alberto De Martino  Italy
Eye of the Needle, Action Drama Romance Thriller Richard Marquand Kings Road Entertainment United Kingdom
Polyester, Comedy John Waters New Line Cinema United States of America
Casino Royale,James Bond Collection Adventure Action Comedy John Huston Robert Parrish Val Guest Joseph McGrath Ken Hughes Columbia Pictures Corporation Famous Artists Productions United Kingdom United States of America
The Way Home, Drama Family Lee Jeong-hyang CJ Entertainment Tube Entertainments South Korea
Eight Crazy Nights, Comedy Animation Seth Kearsley Columbia Pictures Happy Madison Productions Meatball Animation United States of America
Treasure Planet, Adventure Animation Family Fantasy Science Fiction Ron Clements John Musker Walt Disney Pictures Walt Disney Feature Animation United States of America
The Last Seduction II, Thriller Romance Terry Marcel  
Legend of the Lost, Adventure Drama Henry Hathaway United Artists Batjac Productions Dear Film Produzione Italy United States of America
WiseGirls, Action Comedy Drama Thriller David Anspaugh  Canada United Kingdom United States of America
The Simple-Minded Murderer, Drama Hans Alfredson AB Svenska Ord Sweden
The Secret Policeman's Other Ball, Comedy Music Julien Temple Roger Graef  
White Dog, Horror Drama Thriller Samuel Fuller Paramount Pictures United States of America
Gods and Generals, Drama History War Ronald F. Maxwell Warner Bros. Pictures Turner Pictures Antietam Filmworks United States of America
The Awful Truth, Comedy Drama Romance Leo McCarey Columbia Pictures Corporation United States of America
Day for Night, Comedy Drama François Truffaut Les Films du Carrosse PECF Produzione Intercontinentale Cinematografica (PIC) France Italy
Identity, Mystery Thriller James Mangold Konrad Pictures Columbia Pictures Corporation United States of America
The Rare Breed, Western Andrew V. McLaglen Universal Pictures United States of America
Start the Revolution Without Me, Comedy History Bud Yorkin Warner Bros. NorBud Productions Norbud Films United States of America
Juggernaut, Thriller Action Crime Richard Lester David V. Picker Productions Two Roads Productions Spain United Kingdom United States of America
Freaky Friday, Comedy Mark Waters Walt Disney Pictures Gunn Films Casual Friday Productions United States of America
The Day of the Dolphin, Action Crime Drama Science Fiction Thriller Mike Nichols AVCO Embassy Pictures United States of America
Me & Isaac Newton, Documentary Michael Apted  
Angie, Comedy Drama Romance Martha Coolidge Caravan Pictures Hollywood Pictures United States of America
Sunday in the Country, Drama Crime Thriller John Trent Canadian Film Development Corporation (CFDC) Impact Films Quadrant Films United Kingdom Canada
Sweet Sixteen, Crime Drama Ken Loach Alta Films S.A. TTornasol Films S.A. United Kingdom
Interstate 60, Adventure Comedy Drama Fantasy Mystery Bob Gale Fireworks Pictures Canada United States of America
Sherlock Holmes Faces Death,Sherlock Holmes (1939 series) Drama Mystery Thriller Roy William Neill  
The Solid Gold Cadillac, Comedy Romance Richard Quine Columbia Pictures Corporation United States of America
Broken Blossoms, Drama Romance D.W. Griffith United Artists D.W. Griffith Productions United States of America
Thunderheart, Action Adventure Crime Mystery Thriller Michael Apted TriStar Pictures United States of America
Crazy People, Comedy Romance Tony Bill Barry L. Young Paramount Pictures Intuitive TV United States of America
Queen of Hearts, Comedy Romance Foreign Jon Amiel  
Plaza Suite, Comedy Drama Romance Arthur Hiller Paramount Pictures United States of America
Vanishing Point, Action Thriller Drama Richard C. Sarafian Twentieth Century Fox Film Corporation Cupid Productions United States of America
The Cat and the Canary, Thriller Foreign Mystery Horror Comedy Radley Metzger Grenadier Films United Kingdom
The Punisher, Action Crime Drama Jonathan Hensleigh Lions Gate Films VIP 3 Medienfonds Valhalla Motion Pictures Marvel Enterprises VIP 2 Medienfonds Germany United States of America
13 Going on 30, Comedy Fantasy Romance Gary Winick Columbia Pictures Revolution Studios Thirteen Productions United States of America
Man on Fire, Action Drama Thriller Crime Tony Scott Regency Enterprises Fox 2000 Pictures Epsilon Motion Pictures Scott Free Productions New Regency Pictures United Kingdom United States of America
Along the Coast, Documentary Agnès Varda Argos Films France
Soldier of Orange, Drama History Thriller War Paul Verhoeven Film Holland Excelsior Films The Rank Organisation Belgium Netherlands
Good Guys Wear Black, Action Thriller Ted Post  United States of America
Pure Country, Drama Music Romance Christopher Cain  United States of America
Shiri, Action Adventure Drama Thriller Kang Je-gyu Samsung Entertainment South Korea
Dexter the Dragon & Bumble the Bear, Animation Harrie Geelen Rob Houwer Productions Netherlands
Oliver Twist, Adventure Drama Family David Lean Cineguild United Kingdom
Plain Dirty, Romance Thriller Drama Zev Berman Tonic Films Down Home Entertainment Wind Chill Productions United States of America
Taxi,Taxi Collection Action Comedy Crime Gérard Pirès ARP Sélection Cofimage 9 TF1 Films Production Canal+ EuropaCorp Studio Image 4 France
Gray Lady Down, Thriller Adventure History Drama David Greene Universal Pictures The Mirisch Corporation United States of America
In a Glass Cage, Drama Horror Agustí Villaronga T.E.M. Productores S.A. Spain
Funny About Love, Comedy Drama Romance Leonard Nimoy Paramount Pictures United States of America
Slaughter of the Innocents, Horror Action Thriller Mystery James Glickenhaus Shapiro-Glickenhaus Entertainment United States of America
The Belly of an Architect, Drama Peter Greenaway British Screen Sacis Film Four International Hemdale Group Mondial Callender Company Tangram Film Italy United Kingdom
Kotch, Comedy Drama Jack Lemmon American Broadcasting Company (ABC) United States of America
Sherlock Holmes and the Secret Weapon,Sherlock Holmes (1939 series) Action Adventure Crime Drama Mystery Thriller Roy William Neill Universal Pictures United States of America
A Dirty Shame, Comedy John Waters Fine Line Features Killer Films John Wells Productions This Is That Productions United States of America
Shaun of the Dead, Horror Comedy Edgar Wright Universal Pictures Big Talk Productions StudioCanal Film4 Working Title Films WT2 Productions De Wolfe Music Inside Track 2 United Kingdom United States of America France
The Decline of the American Empire, Comedy Drama Denys Arcand Corporation Image M & M Societe Radio Cinema Canada
Spin, Family Drama James Redford Spin Prods. LLC United States of America
Ray, Drama Music Taylor Hackford Universal Pictures Bristol Bay Productions Baldwin Entertainment Group Anvil Films United States of America
Portrait of Jennie, Drama Fantasy Romance William Dieterle Vanguard Films Selznick International Pictures United States of America
The Unknown,I Love a Mystery movie series Drama Horror Romance Tod Browning Metro-Goldwyn-Mayer (MGM) United States of America
The Son of Kong,King Kong (1933 series) Adventure Horror Action Science Fiction Ernest B. Schoedsack RKO Radio Pictures United States of America
Wild Boys of the Road, Drama William A. Wellman First National Pictures Warner Bros. United States of America
The Dawn Patrol, Action Drama War Edmund Goulding Warner Bros. United States of America
Across the Pacific, Adventure Drama Romance War John Huston Warner Bros. United States of America
The Unknown Soldier, Drama War Edvin Laine Suomen Filmiteollisuus Finland
The Train, Action Drama Thriller War John Frankenheimer Les Productions Artistes Associés Les Films Ariane Dear Film Produzione France United States of America
Tony Rome, Crime Mystery Thriller Gordon Douglas Arcola Pictures United States of America
Dracula Has Risen from the Grave,Dracula (Hammer Series) Horror Freddie Francis Hammer Film Productions United Kingdom
The Hound of the Baskervilles, Drama Horror Comedy Thriller Crime Mystery Paul Morrissey  United Kingdom
The Adventures of Picasso, Comedy Tage Danielsson Svensk Filmindustri (SF) Svenska Ord Sweden
La Luna, Drama Bernardo Bertolucci Fiction Cinematografica S.p.a. 20th Century Fox Film Corporation Italy United States of America
Children's Island, Drama Family Kay Pollak  
Law of Desire, Comedy Drama Romance Pedro Almodóvar Laurenfilm Spain
Shout, Drama Romance Jeffrey Hornaday Universal Pictures Robert Simonds Productions United States of America
Deadly Advice,  Mandie Fletcher  
Leningrad Cowboys Meet Moses,Leningrad Cowboys Collection Adventure Comedy Music Aki Kaurismäki  Czech Republic Germany France Poland United States of America
Sonatine, Action Crime Thriller Takeshi Kitano Bandai Visual Company Shôchiku Eiga Shouchiku Co. Yamada Right Vision Corporation Japan
Darkman II: The Return of Durant,Darkman Collection Action Adventure Science Fiction Thriller Bradford May Renaissance Pictures United States of America
A Summer's Tale,Tales of the Four Seasons Comedy Drama Romance Éric Rohmer Les Films du Losange Canal+ La Sept Cinéma Sofilmka France
Nirvana, Thriller Fantasy Science Fiction Gabriele Salvatores Davis-Films Cecchi Gori Group Tiger Cinematografica Colorado Film Production Italy
Sophie's World, Fantasy Drama Family Erik Gustavson SF Norge Produksjon Norway
An Injury to One, Documentary Travis Wilkerson  United States of America
The Jacket, Drama Mystery Thriller Fantasy John Maybury Section Eight Mandalay Pictures VIP 3 Medienfonds 2929 Productions Rising Star VIP 2 Medienfonds Warner Independent Pictures (WIP) Germany United States of America
Windstruck, Comedy Drama Kwak Jae-yong  South Korea
In Good Company, Comedy Drama Romance Paul Weitz Depth of Field United States of America
The River, Drama Foreign Romance Tsai Ming-liang  Taiwan
Wizards, Animation Fantasy Science Fiction Ralph Bakshi Twentieth Century Fox Film Corporation Bakshi Productions United States of America
Pippi on the Run,Pippi Longstocking Family Olle Hellbom  Germany Sweden
Gorgeous, Adventure Action Comedy Romance Vincent Kok Golden Harvest Pictures Hong Kong
Night Watch,World of Watches Collection Fantasy Action Thriller Timur Bekmambetov Bazelevs Production Channel One Russia TABBAK The First Channel Russia
Tart, Comedy Drama Romance Christina Wayne Interlight Green Moon Productions Canada United States of America
The Pacifier, Action Comedy Drama Family Thriller Adam Shankman Walt Disney Pictures Spyglass Entertainment Canada United States of America
Be Cool,Chili Palmer Collection Comedy Crime F. Gary Gray Double Feature Films Jersey Films Nina Saxon Film Design Metro-Goldwyn-Mayer (MGM) United States of America
The Sword of Doom, Action Drama Kihachi Okamoto Takarazuka Eiga Company Ltd. Japan
Snake and Crane Arts of Shaolin, Drama Action Foreign Chen Chi-Hwa Lo Wei Motion Picture Company Hong Kong Taiwan
Down and Derby, Comedy Family Eric Hendershot Stonehaven Media Pure Entertainment United States of America
The Devil's Rejects,House of 1000 Corpses Collection Drama Horror Crime Rob Zombie Lions Gate Films Cinerenta Medienbeteiligungs KG Firm Films Cinelamda Internationale Filmproduktionsgesellschaft Germany United States of America
Blue Hill Avenue, Crime Drama Craig Ross Jr.  United States of America
The Anderson Tapes, Action Crime Drama Thriller Sidney Lumet Columbia Pictures Corporation Robert M. Weitman Productions United States of America
Medea, Drama Lars von Trier Danmarks Radio (DR) Denmark
Bubble, Drama Crime Mystery Steven Soderbergh Magnolia Pictures Extension 765 United States of America
The Profession of Arms, Adventure Drama History War Ermanno Olmi StudioCanal Eurimages Rai Cinema Taurus Produktion Boyana Film Cinemaundici Ministero per i Beni e le Attività Culturali (MiBAC) Italy France Germany Bulgaria
Dandelion, Drama Romance Mark Milgard  United States of America
Manderlay,USA: Land of Opportunities Collection Drama Lars von Trier Zentropa Entertainments Danmarks Radio (DR) Arte Memfis Film Isabella Films BV Degeto Film Ognon Pictures Sveriges Television (SVT) Canal+ Yleisradio (YLE) Arte France Cinéma Westdeutscher Rundfunk (WDR) Alan Young Pictures Nederlandse Programma Stichting (NPS) Canal+ Television AB Film i Väst Invicta Capital Edith Film Oy Pain Unlimited GmbH Filmproduktion Sigma Films Manderlay Denmark France Germany Italy Netherlands Sweden United Kingdom
Dead Man's Shoes, Drama Thriller Crime Shane Meadows EM Media Big Arty Productions Film4 Warp Films United Kingdom
The Brides of Dracula,Dracula (Hammer Series) Horror Terence Fisher Hammer Film Productions Hotspur Film Productions Ltd. United Kingdom
Richard Pryor: Live in Concert, Comedy Jeff Margolis  United States of America
Yamakasi,Yamakasi - Collection Action Crime Drama Ariel Zeitoun Julien Seri  France
Casper Meets Wendy,Casper Collection Family Comedy Adventure Sean McNamara Saban Entertainment 20th Century Fox Home Entertainment The Harvey Entertainment Company United States of America
The Dark, Horror Thriller Mystery John Fawcett Constantin Film Impact Pictures Isle of Man Film UK Film Council Germany United Kingdom
Leprechaun 4: In Space,Leprechaun Collection (Original Series) Comedy Fantasy Horror Science Fiction Brian Trenchard-Smith Front Street Studios United States of America
Kummeli Stories, Comedy Matti Grönberg Kinoproduction Oy Porkkana Ryhmä Yleisradio (YLE) Finland
Secrets of a Soul, Thriller Drama G.W. Pabst Neumann-Filmproduktion Germany
Ivanhoe, Drama History Adventure Douglas Camfield Columbia Pictures Television Rosemont Productions United Kingdom
The Criminal Life of Archibaldo de la Cruz, Comedy Crime Drama Luis Buñuel Alianza Cinematográfica Española Mexico
Bio Zombie, Horror Comedy Foreign Wilson Yip  Hong Kong
Union Pacific, Drama Western Cecil B. DeMille Paramount Pictures United States of America
Offside, Drama Comedy Foreign Jafar Panahi Jafar Panahi Film Productions Iran
Reeker,"Reeker Collection Horror Mystery Dave Payne Institution, The Primal Pictures Afraid of the Dark United States of America"
Zombie Honeymoon, Horror David Gebroe Glass Eye Pix United States of America
The Man Who Never Was, Thriller War Drama History Ronald Neame Twentieth Century Fox Film Corporation Sumar Productions United Kingdom
The History Boys, Comedy Drama Nicholas Hytner DNA Films BBC Films UK Film Council United Kingdom
Rolling Family, Drama Comedy Pablo Trapero  Argentina Brazil France Germany Spain United Kingdom
The Savage Innocents, Drama Nicholas Ray Paramount Pictures Gray Film Joseph Janni Production France Italy United Kingdom
Golden Door, History Drama Romance Emanuele Crialese Banque Populaire Images 6 Cofimage 16 Cofinova 2 MEDIA Programme of the European Union mementoFilm Respiro Sofica Europacorp Titti Film Wild Bunch France Italy
First on the Moon, Mystery Science Fiction Aleksey Fedorchenko Sverdlovskaya Kinostudiya Kinokompaniya Strana Russia
The Situation, Drama History Romance Thriller Philip Haas Red Wine Pictures United States of America
Right at Your Door, Drama Thriller Chris Gorak  United States of America
Fay Grim,Henry Fool Collection Comedy Thriller Hal Hartley A & A Release United States of America
The Homecoming, Drama Peter Hall  
Live Free or Die Hard,Die Hard Collection Action Thriller Len Wiseman Ingenious Film Partners Twentieth Century Fox Film Corporation Dune Entertainment Cheyenne Enterprises Wintergreen Productions United Kingdom United States of America
Arn: The Knight Templar,Arn collection Action Adventure Drama Romance Peter Flinth Danmarks Radio (DR) Telepool AMC Pictures TV4 Sweden SF Norge Molinare Studios Yleisradio (YLE) Svensk Filmindustri (SF) Juonifilmi TV2 Norge Film i Väst Soundchef Studios Arion Communications Ltd. Dagsljus Filmequipment Sheba Films Sandline Production Europa Film Sound Production Sweden
First Snow, Drama Thriller Mark Fergus Yari Film Group Furst Films Germany United States of America
No Time For Sergeants, Comedy Drama Mervyn LeRoy Warner Bros. United States of America
Who's Your Caddy?, Comedy Don Michael Paul The Weinstein Company Dimension Films Metro-Goldwyn-Mayer (MGM) United States of America
Illegal Tender, Drama Action Thriller Crime Franc. Reyes  United States of America
House of Bamboo, Crime Drama Samuel Fuller Twentieth Century Fox Film Corporation United States of America
Rendition, Drama Thriller Gavin Hood Anonymous Content Level 1 Entertainment MID Foundation United States of America
The Comebacks, Comedy Tom Brady Fox Atomic United States of America
Alvin and the Chipmunks,Alvin and the Chipmunks Collection Comedy Music Family Fantasy Animation Tim Hill Dune Entertainment Regency Enterprises Fox 2000 Pictures Bagdasarian Productions United States of America
Pledge This!, Comedy William Heins Paris Hilton Entertainment Pledge This Holdings United States of America
P.S. I Love You, Drama Romance Richard LaGravenese Wendy Finerman Productions Alcon Entertainment Grosvenor Park Productions United States of America
U2 3D, Music Documentary Mark Pellington Catherine Owens National Geographic Entertainment 3ality Digital Entertainment United States of America
The Air I Breathe, Drama Action Thriller Crime Jieho Lee NALA Films Mexico United States of America
Step Up 2: The Streets,Step Up Collection Music Drama Romance Jon M. Chu Summit Entertainment Offspring Entertainment Touchstone Pictures United States of America
Mala Noche, Drama Gus Van Sant  United States of America
Alatriste, Action Agustín Díaz Yanes Twentieth Century Fox Film Corporation Estudios Picasso NBC Universal Global Networks Origen Producciones Cinematograficas S.A. Spain
Why Not?, Drama Shôhei Imamura Shôchiku Eiga Imamura Productions Japan
Hero Wanted, Action Adventure Crime Drama Thriller Brian Smrz  United States of America
The Lost World, Adventure Fantasy Science Fiction Irwin Allen Twentieth Century Fox Film Corporation United States of America
Tell It to the Marines, Action Comedy Drama George W. Hill Metro-Goldwyn-Mayer (MGM) United States of America
Pocket Money, Action Comedy Western Stuart Rosenberg First Artists Coleytown Productions United States of America
Hour of the Gun, Action Drama Western John Sturges The Mirisch Corporation Mirisch-Kappa Production United States of America
Welcome to the Sticks, Comedy Dany Boon Nicolas Guy Centre National de la Cinématographie TF1 Films Productions Pathé Renn Productions Hirsch Canal+ CinéCinéma Région Nord-Pas-de-Calais Les Productions du Chicon Centre Régional des Ressources Audiovisuelles (CRRAV) France
Watching the Detectives, Comedy Romance Paul Soter  United States of America
The Boys in Company C, Drama War Sidney J. Furie Columbia Pictures Golden Harvest Company Good Times Films S.A. Hong Kong Philippines United States of America
Import/Export, Drama Ulrich Seidl Pronto Film Austria Slovakia Ukraine
